Model,Accuracy,Precision,Recall,F1 (weighted),F1 (macro),ROC-AUC
Stacking (Ensemble),0.8706,0.8192,0.8706,0.8247,0.247,0.732
Soft Voting (Ensemble),0.8683,0.8241,0.8683,0.8146,0.1917,0.7358
Hard Voting (Ensemble),0.8673,0.8254,0.8673,0.8124,0.1739,N/A
