Model,CV_Mean_F1,CV_Std_F1,CV_Min_F1,CV_Max_F1,Training_Time_s,Status
LightGBM,0.8157,0.0023,0.813,0.8184,389.75,OK
XGBoost,0.8151,0.0024,0.8115,0.8173,397.82,OK
Random Forest,0.8117,0.0017,0.8099,0.8143,405.82,OK
SVM,0.8072,0.0014,0.805,0.8087,10.73,OK
Logistic Regression,0.807,0.0012,0.8055,0.8085,4.76,OK
Naive Bayes,0.7957,0.0011,0.7942,0.7969,1.63,OK
Decision Tree,0.7875,0.0018,0.7843,0.7893,201.33,OK
