Model,CV_Mean_F1,CV_Std_F1,CV_Min_F1,CV_Max_F1,Training_Time_s,Status
XGBoost,0.7082,0.0562,0.6033,0.7658,0.37,OK
Logistic Regression,0.7005,0.0887,0.6149,0.8644,2.21,OK
LightGBM,0.6533,0.0568,0.5698,0.746,0.49,OK
Random Forest,0.6184,0.0528,0.5314,0.6708,0.5,OK
Naive Bayes,0.602,0.1424,0.3771,0.8019,1.76,OK
Decision Tree,0.5967,0.0641,0.5229,0.6897,0.09,OK
SVM,0.5808,0.0355,0.53,0.6412,0.11,OK
